{'form_question': 'Q1_Karnaugh', 'answer': "[['ab'], ['.0']]", 'id': '6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c', 'generate_time': '14_15_6', 'send_time': '14_15_36', 'session_start_time': '14_2_40', 'params': []}

{'form_question': 'Q1_Karnaugh', 'answer': "[['ab'], ['.0']]", 'id': '6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c', 'generate_time': '14_15_36', 'send_time': '14_16_18', 'session_start_time': '14_2_40', 'params': []}

{'form_question': 'Q1_Karnaugh', 'answer': "[['ab'], ['.0']]", 'id': '6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c', 'generate_time': '14_16_18', 'send_time': '14_16_58', 'session_start_time': '14_2_40', 'params': []}

{'form_question': 'Q1_Karnaugh', 'answer': "[['ab'], ['.0']]", 'id': '6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c', 'generate_time': '14_16_58', 'send_time': '14_17_38', 'session_start_time': '14_2_40', 'params': []}
[['ab'], ['.0']] []

{'form_question': 'Q1_Karnaugh', 'answer': "[['ab'], ['.0']]", 'id': '6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c', 'generate_time': '14_17_38', 'send_time': '14_17_45', 'session_start_time': '14_2_40', 'params': []}
[['ab'], ['.0']] []

{'form_question': 'Q1_Karnaugh', 'answer': "[['ab'], ['.0']]", 'id': '6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c', 'generate_time': '14_17_45', 'send_time': '14_18_9', 'session_start_time': '14_2_40', 'params': []}

[['ab'], ['.0']]

[['ab'], ['.0']] []

[['ab'], ['.0']] ['SHOW_SOLUTION']

<class 'str'> ['SHOW_SOLUTION']

[['ab'], ['.0']] ['SHOW_SOLUTION']

[['ab'], ['.0']]

['abc', '11.']

['ab', '..'] <class 'str'>

['ab', '..'] <class 'list'>
eueue
Q1_Karnaugh;[True, '..'];6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c;14_24_59;14_29_30;14_2_40;['SHOW_SOLUTION'];True
['ab', '..'] <class 'list'>
eueue
Q1_Karnaugh;[True, '..'];6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c;14_29_30;14_30_7;14_2_40;['SHOW_SOLUTION'];True
['ab', '..'] <class 'list'>
eueue
Q1_Karnaugh;[True, '..'];6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c;14_30_7;14_30_17;14_2_40;['SHOW_SOLUTION'];True
eueue
Q1_Karnaugh;[True, '10'];6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c;14_59_19;14_59_21;14_2_40;[]
eueue
Q1_Karnaugh;[True, '10'];6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c;14_59_21;14_59_29;14_2_40;['SHOW_SOLUTION'];True
eueue
Q1_Karnaugh;[True, '00.'];6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c;15_21_26;15_21_29;14_2_40;[]
eueue
Q1_Karnaugh;[True, '.1.'];6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c;15_22_5;15_22_8;14_2_40;['SHOW_SOLUTION'];abcd
eueue
Q1_Karnaugh;[True, '0.1'];6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c;15_22_43;15_22_51;14_2_40;['SHOW_SOLUTION'];abcd
eueue
Q1_Karnaugh;[True, '0.1'];6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c;15_22_51;15_23_36;14_2_40;['SHOW_SOLUTION'];Solução: abcd
eueue
Q1_Karnaugh;[True, '000'];6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c;15_24_2;15_24_6;14_2_40;['SHOW_SOLUTION'];Solução: abcd
Q1_Karnaugh;[False, '10'];6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c;15_26_28;15_26_37;14_2_40;['SHOW_SOLUTION'];Solução: ..
Q1_Karnaugh;[False, '.0.'];6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c;15_26_57;15_27_14;14_2_40;['SHOW_SOLUTION'];Solução: ...
Q1_Karnaugh;[False, '.0.'];6bcf6daf-f778-4fdc-8ae9-56ea7abd2a0c;15_27_14;15_27_38;14_2_40;['SHOW_SOLUTION'];Solução: .0.
